,,,,,,,,,
,Sprint 1 Goal:,MVP producut delivered by Friday,,,,,,,
,Basic mindsts:,well document for each group work,,,,,,,
,,,,,,,,,
,Work spiltting,Description,Jira item lable,Dependencies ,Group member,Jira item,What each group will delivery on Friday,2.26 Daily Stand Up Meeting Notes,2.27 Retrospective Meeting Notes
,1.⁠ ⁠Research Team,"Find keyboard and joystick libraries on GitHub and test them on Android. We want to see if there are any open source libraries that take swipe / joystick input we can then map to our keyboard. You need to download and run these, try to program to see if you can set a particular angle for a particular input key, e.g. input in -20 degrees to +20 degrees should type number 2.",Group_1,,"Khair Muhammd, Taimoor Athar Malik",SCRUM-19,,,"Taimoor:
1.[Agile work methods] In the beginning, our team was very small, with only two or three developers and one or two product managers. During meetings, everyone would use sticky notes to write down what we did well and what needed improvement, in preparation for the next sprint phase. Later, our team grew to fifteen people. There was a dedicated customer success team, five product managers, ten developers, and a dedicated UI design team. After that, we switched to an anonymous way of collecting opinions. Before the meeting, we will share a Google Sheet, and everyone will fill in their ideas. Then we will use AI tools to integrate and categorize everyone's ideas to see which ones are consistent. This way, the agile coach won't have to write too much content during the meeting; they can just copy and paste the integrated content directly.
2.[Suggestion] In the next sprint phase, everyone can record the problems encountered and improvement suggestions at any time. There's no need to use Google Sheets specifically; any way of taking notes is fine, as long as they can be brought up in the review meeting at the end of the sprint phase."
,2.⁠ ⁠Lead UI Designer + Documentation ,"Design in Figma or other tools what the app should look like. The keyboard (2 joysticks and extra buttons?) and the game screens (if there is time). Aim to create something good enough to publish on the Google Play store.
Work on the documentation (Architectural diagrams, file structure, etc.)",Group_2,Group 3 + Group 2 must sync early on visual style so SCRUM-27 assets match the design.,"Angel, Irshad","SCRUM-20,21",,,"Angel: 
1.[UI design work] I didn't feel stuck; overall, it went quite smoothly. I had enough time to conduct interface research and prototype development, but it did take some effort to find the right design tools at first. I tried Figma first, but its support for the iOS platform is very limited. Then I switched to Pen Pot, and finally, I also used basic HTML to do it. There are definitely areas that can be improved. I wonder if everyone will approve of the things I've done. I plan to optimize it again this weekend and make those small letter buttons a bit larger.
2.[Issue] one thing maybe that frustrated me was the notifications i received about changing the acceptance criteria because like i kind of went to read them and then i was like. What i did was it like it does fulfill the acceptance criteria or not and then you know what took a step back and said OK i think it does yeah. ——PO Feedback: Regarding the acceptance criteria, I actually deleted most of the content. I just want to formulate the acceptance criteria more standardizedly/formal.
3.[Personal Intention] I also want to participate in coding-related work next. I suggest we will continue to work in pairs. It doesn't necessarily have to be pair programming; it's just working in pairs so that everyone can give feedback to each other. Of course, overall team collaboration is also fine, but communication is more convenient when working in pairs.
4.[Personal Intention] I want to engage in game development because I am very interested in the user's perception level, that is, content related to cognition. I also want to conduct research in this area, so you can take note of it.
5.[Personal Intention & Suggestion]  can put me in a group with Nazgul, she has already done some game development work. It's better to pair people with game development experience with those who have zero foundation. Such a pairing method would be better.
5.[Game develop suggestion] When it comes to game development, I'm a rather pessimistic person and always like to plan for the worst. My idea is that we should start with the basic functions first and then gradually improve them. Because if the goals we set are too high and we fail to achieve them in the end, everyone will be disappointed, and this is a problem I have been worried about.

Irshad: 
1.[Issue] I've been a bit unsure of my direction because I'm responsible for developing number-related functions. i just didn't until yesterday and just then Angel showed me what she did, then I followed her code, looking at it bit by bit and learning bit by bit. The task was split into two halves, but on the other hand, the requirements for the second task are too broad, so in fact, there isn't much work to do.
2.[Suggestion] For example, in terms of system architecture, we haven't done a good job so far. Maybe we can provide some specific guidance. For instance, from the perspective of keyboard development, how to design the system architecture. What I am working on is the part of keyboard development."
,3.⁠ ⁠GameDev /Jetpack Compose Design,"From the figma designs, create XML screens in Android Studio (coding work, drag and drop is also available). One person will work on the keyboard, other will work on the game screens. The design should be dynamic i.e. display properly on all common screen sizes.",Group_3,Group 3 + Group 2 must sync early on visual style so SCRUM-27 assets match the design.,"Adi, Nazgul","SCRUM-22,26,27",Goal: Build the screens + first prototype gameplay/training flow and make it look real using open-source assets.,"New direction: Try to explore Godot find some resoures or templates to learn and surpport/prepare for our game design. (Can create new Jira item for this or update details of the existence one)

Product Owner instruction:  figure out whatkind of game we need for, for our, for our use case, we need somethingthat also keeps the user engaged.","Nazgui:
1.[Product design] We are still getting familiar with the product-related content, so everyone is still discussing what the final form of the product will be.
2.[Issue] The team's communication can be improved further.——Regarding the overall positioning of the product, because of this problem, the task work order I'm in charge of is progressing with some difficulty. should be move it to Sprint2, feel like all the research I've done is useless work. It might not be used in the end. Overall, this research task was launched too early because the team hadn't yet decided on the final game to develop at that time.  PO feedback: The game assets collected now are likely to be reusable in the future, especially small materials like menu buttons and interface buttons, which have particularly high reusability. Later, when we determine the game type, we will refer to the content in this document, from basic gameplay design to complex function planning.
3.[Personal Intention] I'm really curious about what kind of game we'll end up choosing, and I also want to try my hand at game programming myself. This is a very interesting thing for me.

Adi:
1.[Project management] Regarding the progress process of our project, I think it is very effective. Whether it's the overall collaboration of the team or the work in various detail domains, we can make flexible adjustments and cooperate with each other.
2.[Game develop suggest] If time permits, we can first develop the basic version. At the same time, we can have some members with rich programming experience move forward to develop another strategy-oriented game. This would be quite good.
3.[Improvement] We can establish some usage specifications on Jira. It's fine for everyone to update and adjust work orders, but make sure the scope of the work order is clear. We can set up a dedicated discussion session or comment section where everyone can voice their questions. If there is a list of functions that need to be included in the plan, they can also be added to the product backlog."
,4.⁠ ⁠System Integration (IME) Developer,"Works on the InputMethodService and AndroidManifest.xml. Their job is to ensure the Android system recognizes the app as a keyboard and can ""send"" characters to other apps like Notepad or WhatsApp.",Group_4,,"Xingxing, Valgot","SCRUM-23,25",,New Task: SCRUM - 34 figure out about how can we built/pop up our keyboard on the IOS by using Xcode&Swift,"Valgot: 
1.[Issue] Actually, I got a bit stuck yesterday because I suddenly didn't know what to do. Because all the core functions were implemented on the first day. After that, I mainly focused on studying the code, wanting to understand it more thoroughly. ——PO Feedback: Next, when assigning tasks on Jira, I will break down the tasks into smaller, more manageable ones, while balancing learning and work. We might set aside some dedicated time for learning, but the main focus will still be on learning through work. I will also factor in the time cost of learning when considering the difficulty of tasks. If everyone feels that there are too many tasks in a sprint.
2.[Issue] I hope to have a partner to discuss problems with. Sharing the same task together, But there's no need for him to look at my code and then help me solve problems like that. Working in pairs is a good way to get things done.——PO Feedback: Separate keyboard development from game development. The game development team has six people, and I plan to divide everyone into groups of two. For example, one group will work on assets and animations, another group on the game engine itself, and the third group on other functions. I still need to think more about the specific division of labor, and it will be confirmed over the weekend. I will try to pair everyone up in twos and also consider the rationality of the pairings. For instance, members with product design experience will be paired with complete newcomers who have no experience to guide them.

Xingxing:
1.[Suggestion] In the subsequent Sprint, it is necessary to set up some testing-related work Tasks.
2.[Scrum master work] Pay more attention to the allocation and completion of tasks; can follow up with questions, provide assistance, or act as a bridge between the PO and team members;
At the beginning of the review meeting with Primoz, quickly summarize the task completion status of each group; (completed and uncompleted)
3.[PO Work] The Product Owner needs to mark completed user stories as ""Completed"" during daily stand-ups and also before the Sprint Review to clarify task progress."
,5.⁠ ⁠Product Owner,,,,Vatsal,,,"New Sub-plan: SCRUM - 35 after completing the design of the keyboard, build some showcases to demonstrate to users how to use it. (reference: Finger dance)



","1.[Issue] There was still some confusion when we assigned tasks, mainly because we didn't have a complete product backlog at that time. However, when we assigned task work orders to everyone in the first meeting, we made some improvements on the spot. So this is an area where we can optimize.
2.[Issue] We made adjustments to several task work orders midway through, and also slightly changed the work direction. However, it was successfully resolved in the end. This is definitely a situation we need to try our best to avoid in the future, and we will strive to proceed with the work according to the established plan. Unless there is a situation — if we continue with a certain task, the energy invested is likely to be in vain in the end, only in such a case will we consider suspending the relevant work.
3.[Sprint 1 feedback] Everyone can feel that they are contributing to the team, and it is a contribution of practical value. Everyone's efforts are equal. We also hold our daily stand-up meetings on time, and in my opinion, everyone's work progress is very good.
4.[Plan] I plan to get the work done this weekend to ensure that the plan for the second sprint phase is sufficiently comprehensive and standardized. 
5.[Plan] I will also personally look into how to publish the product on the Google Play Store and the Apple App Store, hoping that the release will go smoothly in the end. Even if we only manage to complete the release step, it will be a great achievement for us. Of course, we definitely hope to make a good game.
6.[Plan] I will finalize the requirements for the next sprint over the weekend. 90% of the content will remain unchanged, with possibly only one or two minor adjustments, to ensure that everyone is clear about what they need to do.
7.[Plan] After the keyboard development is completed, we will assign a person to be specifically responsible for the integration work, combining the keyboard with the game. We need to consider compatibility in our design from the very beginning. There are relevant data sources in my old code, and it should be okay to directly copy and paste them when the time comes. I hope it goes smoothly. However, this part of the work will probably be scheduled for the third or fourth sprint.
8.[PO & Scrum master & Issues follow] Everyone can ask me because I have the best understanding of the product's planning and future development direction. The Scrum masteris mainly responsible for JIRA management, ensuring that everyone is pushing forward with their work and organizing daily stand-up meetings. The scrum master nedds to properly record all the information in the group and keep track of various tasks."
